a
ôː
õ
õː
õ̞
ø
øː
øːʲ
ø̯
ù
ùː
ú
úː
û
ûː
ā
āː
ē
ēː
ĕ
ĕ͡ə
ě
ěː
ħ
ĩ
ĩː
ī
īː
ŋ
ŋʲ
ŋ̊
ŋ̍
ŋ̟
ŋ̩
ŋ͡m
ō
ŏ
ŏ͡ə
œ
œː
œ̃
œ͡i
œ͡iː
œ͡ʏ
ř
řː
ũ
ũː
ū
ūː
ŭ
ŭ͡ə
ǎ
ǎː
ǐ
ǐː
ǒ
ǒː
ǔ
ǔː
ǣ
ǣː
ɐ
ɐː
ɐ̃
ɐ̃͡j̃
ɐ̃͡w̃
ɐ̯
ɐ̯̯
ɑ
ɑː
ɑ̃
ɑ̃ː
ɒ
ɒʲ
ɒː
ɓ
ɔ
ɔː
ɔˤː
ɔ̀
ɔ̀ː
ɔ́
ɔ́ː
ɔ̃
ɔ̃ː
ɔ̰
ɔ͡i̯
ɔ͡ə
ɔ͡ɨ̯
ɔ͡ɪ
ɔ͡ʊ
ɕ
ɕʰ
ɕː
ɕ͈
ɖ
ɖʱ
ɗ
ɘ
ɘː
ə
əː
əˤ
ə̀
ə́
ə̃
ə̯
ə͡u̯
ə͡w
ə͡ɨ
ə͡ɨ̯
ɚ
ɛ
ɛʲ
ɛː
ɛˤː
ɛ̀
ɛ̀ː
ɛ́
ɛ́ː
ɛ̂
ɛ̂ː
ɛ̃
ɛ̃ː
ɛ̄
ɛ̄ː
ɛ̰
ɛ͡i
ɛ͡i̯
ɛ͡u
ɛ͡u̯
ɛ͡ɪ
ɛ͡ʊ
ɜ
ɜː
ɝ
ɝː
ɟ
ɟː
ɟ͡ʝ
ɡ
ɡʱ
ɡʲ
ɡʷ
ɡː
ɡ̊
ɣ
ɤ
ɥ
ɦ
ɨ
ɨəj
ɨː
ɨ̃ᵝ
ɨ̞
ɨ̥ᵝ
ɨ̯
ɨ͡u̯
ɨ͡w
ɨ͡ə
ɨᵝ
ɨᵝː
ɪ
ɪː
ɪ̀
ɪ́
ɪ̃
ɪ̯
ɪ̰
ɪ͡u̯
ɪ͡ʊ
ɫ
ɫː
ɬ
ɬʼ
ɭ
ɮ
ɯ
ɯː
ɯ̟̃ᵝ
ɯ̟̊ᵝ
ɯ̟ᵝ
ɯ̟ᵝː
ɰ
ɰ̃
ɰᵝ
ɱ
ɱ̩
ɲ
ɲː
ɲ̊
ɲ̟
ɳ
ɴ
ɸ
ɸʷ
ɹ
ɻ
ɽ
ɽʱ
ɾ
ɾʲ
ɾː
ɾ̝̊
ʀ
ʁ
ʁʷ
ʁː
ʂ
ʂʷ
ʃ
ʃʰ
ʃʲ
ʃʷ
ʃʷʼ
ʃʼ
ʃː
ʈ
ʈʰ
ʉ
ʉː
ʊ
ʊ̀
ʊ́
ʊ̃
ʊ̯
ʊ̯͡i
ʊ̯͡ɨ
ʊ̰
ʋ
ʌ
ʌ̹
ʍ
ʎ
ʏ
ʏː
ʏ̯
ʐ
ʐʷ
ʑ
ʒ
ʒʲ
ʒʷ
ʒː
ʔ
ʔʲ
ʔʷ
ʝ
˦ˀ˥
˦˥
˦˧˥
˦˩
˧ˀ˨
˧˦
˧˧
˧˨
˧˩
˨˩
˨˩˦
˨˩˨
β
θ
χ
χʷ
χː
ḛ
ḭ
ṵ
ẽ
ẽː
ẽ̞
‿
